start_number, category, team, liquid_time, official_time, class_general, class_sex, class_category, pace, distance, substitute, notes, id_race, id_runner
4029, M3539, LocaMotiva, 2009101000381181, 2009101000385480, 626, 587, 103, 20091010000446, 8Km,,, 4, 1
4028, M4044, LocaMotiva, 2009101000382556, 2009101000390570 ,651,609,86,20091010000448 ,8Km,,,4,2
4026, M3034, LocaMotiva, 2009101000385771, 2009101000393912 ,712,666,128,20091010000452,8Km,,,4,3
4031, M3034, LocaMotiva, 2009101000455003, 2009101000470853 ,1564,1394,245,20091010000543,8Km,,,4,1
4030, M3034, LocaMotiva, 2009101000470582, 2009101000474523 ,1709,1507,264,20091010000553,8Km,,,4,2
4020, M2024, LocaMotiva, 2009101000490176, 2009101000494392 ,1937,1679,77,20091010000607,8Km,,,4,3
4021, M3034, LocaMotiva, 2009101000511061, 2009101000540501 ,2153,1820,321,20091010000623,8Km,,,4,1
4022, M2529, LocaMotiva, 2009101000533788, 2009101000545442 ,2365,1956,216,20091010000642,8Km,,,4,2
4023, M2024, LocaMotiva, 2009101000545021, 2009101000560805 ,2464,2018,88,20091010000651,8Km,,,4,3
4027, M2529, LocaMotiva, 2009101000592823, 2009101001002171 ,2695,2143,233,20091010000726,8Km,,,4,1
4024, M3034, LocaMotiva, 2009101001014207, 2009101001053626 ,2771,2180,378,20091010000742,8Km,,,4,2
4025, F2529, LocaMotiva, 2009101001232503, 2009101001270723 ,2977,702,81,20091010001025,8Km,,,4,3
